project_id,project_name,methodologyorprotocol,fully_harmonized_methodologyorprotocol,region,voluntary_registry,type_from_registry,project_developer,arborwa_project,type,rule-based_type_mapping_first
GS5046,The Breathing Space Improved Cooking Stoves Programme India - VPA  No. 11 Envirofit,AMS-II.G.,AMS-II.G. Energy efficiency measures in thermal applications of non-renewable biomass, ,GOLD,Energy Efficiency - Domestic,Envirofit International Ltd.,No,Cookstoves, 
VCS3440,Tonghe-3 Water Management with Rice Cultivation,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,Asia,VCS,Agriculture Forestry and Other Land Use,"Gansu Hongmao Agriculture Development Co.,Ltd",No,Rice Emission Reductions,Rice Emission Reductions
GS11222,Ganzhou Swine Farm Animal Manure Management System GHG Mitigation Project,ACM0010,"ACM0010 GHG emission reductions from manure management systems
", ,GOLD,Biogas - Electricity,Profit Carbon Environmental Energy Technology (Shanghai) Co. Ltd.,No,Manure Methane Digester, 
VCS651,"Composting of Organic Content of Municipal Solid Waste in Lahore, Pakistan",AM0025,AM0025 Alternative waste treatment processes,Asia,VCS,Waste handling and disposal,Lahore Compost (Private) Limited,No,Composting, 
VCS3243,Core Carbon Sustainable Rice Productions 01,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,Asia,VCS,Agriculture Forestry and Other Land Use,Core CarbonX Solutions Pvt. Ltd.,No,Rice Emission Reductions,Rice Emission Reductions
VCS598,"Keban 5 MW Hydropower Plant, Turkey",AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Middle East,VCS,Energy industries (renewable/non-renewable sources),Tektuð Elektrik Üretim A.Þ.,No,Hydropower,Hydropower
VCS1471,Jamb Wind Power Project in Maharashtra,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Re_New Wind Energy Delhi Private Limited,No,Wind,Wind
GS12487,SMG - Access to Clean Cooking in Himalayas ,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,SHRI MAA MARKETING PRIVATE LIMITED,No,Cookstoves, 
VCS4886,Tatuy REDD+ Project,VM0015,VM0015 Methodology for Avoided Unplanned Deforestation,Latin America,VCS,Agriculture Forestry and Other Land Use,Multiple Proponents,No,REDD+, 
GS7451,GS5047 VPA36 African Improved Cookstoves and Clean Water Programme: Nyungwe Rainforest Cookstove Project IV,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,Likano Project Development GmbH,No,Cookstoves, 
GS12165,Coastal Solar Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,PV,MAGNETAR GLOBAL PARTNERS S.R.L.,No,Solar - Centralized,Solar - Centralized
ACR842,PERENNIAL CMM CMB10-4 FLARE PROJECT,ARB Compliance Offset Protocol: Mine Methane Capture Projects,ARB Compliance Offset Protocol: Mine Methane Capture Projects, ,ACR,Coal Mine Methane,Perennial CMM LLC,No,Mine Methane Capture,Mine Methane Capture
VCS1397,Reforestation of pasture lands on the Peruvian Northern Andes – “Forestry PRODICOM” Grouped Project,AR-AMS0007,AR-AMS0007 Afforestation and reforestation project activities implemented on lands other than wetlands,Latin America,VCS,Agriculture Forestry and Other Land Use,Multiple Proponents,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS2622,Huiluo Adjusted Water Management in Rice Cultivation,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,Asia,VCS,Agriculture Forestry and Other Land Use,"Guizhou Zhongjian’yangchen Energy Investment Co., Ltd.",No,Rice Emission Reductions,Rice Emission Reductions
GS12331,GS11623 GS11627 RVPA-8 CO2 Sequestration at a Swiss Concrete Recycler using the Neustark Technology,Other,Other, ,GOLD,Other,Neustark AG,No,Carbon-Absorbing Concrete, 
ACR949,FF HFC 23-01,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","ACR Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants", ,ACR,Industrial Process Emissions,"Fluorofusion Specialty Chemicals, Inc.",No,HFC Refrigerant Reclamation,HFC Refrigerant Reclamation
GS7713,GS1366 VPA 49 Coastal Kenya Borehole Rehabilitation Project,GS TPDDTEC,GS TPDDTEC Reduced emissions from cooking and heating – technologies and practices to displace decentralized thermal energy consumption, ,GOLD,Energy Efficiency - Domestic,CO2balance UK ltd,No,Community Boreholes, 
GS3007,Sodo Ethiopia ,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,GS Methodology for Afforestation/Reforestation GHG Emissions Reduction and Sequestration, ,GOLD,A/R,World Vision Australia,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS1867,Ningxia Xiangshan Wind Farm Project,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),"Ningxia Zhongwei Aluminum New Energy Co., Ltd",No,Wind,Wind
VCS4543,Leconi Agroforestry Project in Haut-Ogooue (LAPHO),AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Africa,VCS,Agriculture Forestry and Other Land Use,AERA Group,No,Afforestation/Reforestation,Afforestation/Reforestation
VCS2248,Wind energy project by LWEPL-1,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,Asia,VCS,Energy industries (renewable/non-renewable sources),Lalpur Wind Energy Private Limited,No,Wind,Wind
VCS3147,Jiangxi Suichuan Improved Forest Management Project,VM0010,VM0010 Methodology for Improved Forest Management: Conversion from Logged to Protected Forest,Asia,VCS,Agriculture Forestry and Other Land Use,Jiangxi Tianye Biotechnology Limited,No,Improved Forest Management,Improved Forest Management
VCS4574,MAHARASHTRA AND GUJARAT INITIATIVE FOR REGENERATIVE AGRICULTURE AND INCOME CREATION,VM0042,VM0042 Methodology for Improved Agricultural Land Management,Asia,VCS,Agriculture Forestry and Other Land Use,Grow Indigo Private Ltd,No,Sustainable Agriculture, 
VCS2365,Integrated Project for Reforestation and Agroforestry on Degraded lands in Nicaragua,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,Latin America,VCS,Agriculture Forestry and Other Land Use,MLR Forestal de Nicaragua S.A.,No,Afforestation/Reforestation,Afforestation/Reforestation
GS11714,CPA-MA-28-Madagascar Ethanol Stove Program,AMS-I.E.,AMS-I.E. Switch from non-renewable biomass for thermal applications by the user, ,GOLD,Energy Efficiency - Domestic,GREEN DEVELOPMENT AS,No,Cookstoves, 
GS954,Los Hierros Hydroelectric Plant,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources, ,GOLD,"Small, Low - Impact Hydro",Besalco Energa Renovable S.A.,No,Hydropower,Hydropower
VCS478,GHG Mitigation by Energy Efficiency Improvement as a result of replacement of Base Transceiver Station electronics in Telecom Towers,AMS-II.C.,AMS-II.C. Demand-side energy efficiency activities for specific technologies,Asia,VCS,Energy demand,Tata Teleservices Maharashtra Limited,No,Energy Efficiency, 
GS3518,GS1340 Efficient cookstoves in Burkina Faso - VPA-04 - tiipaalga F3PA cookstoves in Bam and Loroum,GS MS Simplified Methodology for Efficient Cookstoves,GS Simplified Methodology for Clean and Efficient Cookstoves, ,GOLD,Energy Efficiency - Domestic,Tiipaalga,No,Cookstoves,Cookstoves
GS3413,GS3413 - Household Solar Lighting Systems in India,AMS-III.AR.,AMS-III.AR. Substituting fossil fuel based lighting with LED/CFL lighting systems, ,GOLD,Solar Thermal - Electricity,ClimateCare Limited,No,Solar Lighting,Solar Lighting
VCS1711,"Agricultural Land Management project in Telangana, India implemented by Godrej Consumer Products Limited",ACM0017;VM0017,ACM0017 Production of biodiesel for use as fuel;VM0017 Adoption of Sustainable Agricultural Land Management,Asia,VCS,Agriculture Forestry and Other Land Use,Godrej Consumer Products Limited,No,Sustainable Agriculture, 
VCS666,Gansu Zhangye Heihe Longhui Small Scale Hydropower Project,AMS-I.D.,AMS-I.D. Grid connected renewable electricity generation,Asia,VCS,Energy industries (renewable/non-renewable sources),Zhangye Longhui Hydropower Co. Ltd.,No,Hydropower,Hydropower
